date,ticker,mentions,close,ret1d
2025-09-19,JOBY,7,16.579999923706055,13.33
2025-09-19,KTOS,1,80.7699966430664,0.15
2025-09-19,ARM,1,142.91000366210938,-2.48
2025-09-19,EDIT,1,2.8299999237060547,-5.67
2025-09-19,NEGG,1,55.0,18.2
2025-09-19,TSM,4,264.8699951171875,-1.4
2025-09-19,FLY,3,45.20000076293945,-0.04
2025-09-19,UEC,2,12.449999809265137,1.55
2025-09-19,ACN,2,239.6999969482422,0.06
2025-09-19,COST,3,951.1599731445312,-0.13
2025-09-19,CTAS,1,200.1300048828125,0.31
2025-09-19,BTU,1,22.719999313354492,4.27
2025-09-19,MU,2,162.72999572753906,-3.65
2025-09-19,PWR,1,388.5799865722656,-0.53
2025-09-19,EU,1,2.7899999618530273,6.9
2025-09-19,PNW,1,86.5199966430664,0.76
2025-09-19,TTD,16,44.470001220703125,1.23
2025-09-19,CRDO,1,169.55999755859375,-1.6
2025-09-19,ENTG,1,93.31999969482422,-2.76
2025-09-19,MNDY,2,219.14999389648438,6.29
2025-09-19,KKR,1,148.9199981689453,-0.28
2025-09-19,SMCI,2,45.810001373291016,-0.28
2025-09-19,WYFI,4,26.299999237060547,12.35
2025-09-19,ARE,5,86.19000244140625,-1.44
2025-09-19,CME,1,261.5299987792969,0.36
2025-09-19,ICE,1,169.77000427246094,-0.79
2025-09-19,UNH,6,336.69000244140625,0.56
2025-09-19,ALL,5,206.0399932861328,0.18
2025-09-19,PANW,1,208.19000244140625,1.22
2025-09-19,BABA,3,162.80999755859375,0.2
2025-09-19,CVNA,2,391.8900146484375,3.63
2025-09-19,PLAB,1,24.940000534057617,-0.2
2025-09-19,ANY,4,0.6783000230789185,3.87
2025-09-19,JPM,1,314.7799987792969,0.49
2025-09-19,AXP,1,341.1199951171875,-0.16
2025-09-19,TLRY,2,1.2100000381469727,-3.97
2025-09-19,BIDU,1,135.35000610351562,0.07
2025-09-19,NIO,6,7.369999885559082,0.0
2025-09-19,EBON,2,5.059999942779541,7.43
2025-09-19,BAR,1,36.33000183105469,1.06
2025-09-19,LOW,1,265.20001220703125,-0.89
2025-09-19,RKLB,2,47.790000915527344,1.29
2025-09-19,NOW,3,961.1500244140625,1.41
2025-09-19,BULL,1,13.289999961853027,4.32
2025-09-19,HAS,1,74.1500015258789,-0.97
2025-09-19,NYT,1,58.40999984741211,-0.12
2025-09-19,BITF,3,3.119999885559082,-2.5
2025-09-19,SNAP,6,8.15999984741211,-3.32
2025-09-19,PUMP,1,4.849999904632568,-1.62
2025-09-19,ESLT,1,487.9700012207031,-0.54
2025-09-19,WOW,1,5.150000095367432,-1.34
2025-09-19,ASTS,12,45.099998474121094,8.83
2025-09-19,LEU,1,294.489990234375,12.12
2025-09-19,GAME,1,0.7246000170707703,-6.5
2025-09-19,SBUX,1,84.55999755859375,1.37
